"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2023","98.46","98.61","100.29","98.18","5.80M","-0.39%"
"08/30/2023","98.85","97.20","99.44","96.57","4.35M","1.27%"
"08/29/2023","97.61","93.18","97.88","93.00","5.69M","4.25%"
"08/28/2023","93.63","93.13","94.50","92.98","3.90M","1.42%"
"08/25/2023","92.32","90.63","92.78","89.73","4.66M","2.62%"
"08/24/2023","89.96","94.49","94.66","89.73","6.01M","-3.14%"
"08/23/2023","92.88","90.77","93.36","90.39","5.77M","0.55%"
"08/22/2023","92.37","94.86","95.18","92.14","3.92M","-0.71%"
"08/21/2023","93.03","91.50","93.52","91.23","4.58M","2.53%"
"08/18/2023","90.73","89.04","91.23","88.63","4.65M","0.78%"
"08/17/2023","90.03","92.09","92.68","89.91","6.77M","-2.33%"
"08/16/2023","92.18","94.29","94.58","92.03","5.26M","-2.07%"
"08/15/2023","94.13","96.21","96.41","93.89","4.85M","-3.08%"
"08/14/2023","97.12","94.20","97.15","93.57","5.28M","2.70%"
"08/11/2023","94.57","96.51","96.70","94.31","5.44M","-3.23%"
"08/10/2023","97.73","100.55","101.15","97.06","4.73M","-1.37%"
"08/09/2023","99.09","101.37","101.52","98.88","4.85M","-2.26%"
"08/08/2023","101.38","102.33","102.33","99.90","4.18M","-2.13%"
"08/07/2023","103.59","104.00","104.87","102.68","4.11M","1.25%"
"08/04/2023","102.31","101.43","103.71","100.48","6.47M","-0.38%"
"08/03/2023","102.70","101.45","102.95","100.40","6.05M","-0.84%"
"08/02/2023","103.57","106.89","107.16","103.12","6.91M","-4.18%"
"08/01/2023","108.09","107.73","109.41","106.60","5.45M","0.32%"
"07/31/2023","107.75","109.74","111.35","107.08","14.16M","2.53%"
"07/28/2023","105.09","103.70","105.39","102.50","7.61M","2.92%"
"07/27/2023","102.11","103.06","104.53","100.80","7.43M","2.88%"
"07/26/2023","99.25","99.32","100.33","97.96","5.53M","-0.79%"
"07/25/2023","100.04","98.46","101.57","98.29","5.92M","2.41%"
"07/24/2023","97.69","96.33","98.06","95.88","5.18M","-1.08%"
"07/21/2023","98.76","98.41","99.29","97.75","10.01M","1.50%"
"07/20/2023","97.30","100.17","101.52","96.29","9.22M","-4.52%"
"07/19/2023","101.91","104.81","104.81","101.88","6.10M","-2.79%"
"07/18/2023","104.84","104.06","105.35","102.90","5.22M","0.49%"
"07/17/2023","104.33","99.80","104.88","99.50","6.87M","4.66%"
"07/14/2023","99.68","102.00","102.65","99.11","4.98M","-2.31%"
"07/13/2023","102.04","99.39","102.31","98.63","6.47M","3.46%"
"07/12/2023","98.63","98.37","98.98","97.14","4.78M","2.06%"
"07/11/2023","96.64","97.34","97.51","95.18","3.96M","0.69%"
